yr_built,bridge_condition,avg_daily_traffic,lat,long,county,carries,total_improve_cost_thousands,inspection_mo,inspection_yr,owner,responsibility,vehicles
1989,Good,39092,39.0647666666667,-76.644625,Anne Arundel County,MD 32 EBR,NA,04,15,State Highway Agency,State Highway Agency,39092 vehicles
1989,Good,52720,39.066969,-76.640536,Anne Arundel County,MD 3 NB,NA,01,17,State Highway Agency,State Highway Agency,52720 vehicles
1989,Fair,93710,39.06245,-76.639553,Anne Arundel County,IS 97 NB,NA,08,16,State Highway Agency,State Highway Agency,93710 vehicles
1989,Fair,93710,39.062669,-76.640061,Anne Arundel County,IS 97 SB,NA,08,16,State Highway Agency,State Highway Agency,93710 vehicles
1987,Good,999,39.047758,-76.622436,Anne Arundel County,WATERBURY ROAD,NA,01,17,State Highway Agency,State Highway Agency,999 vehicles
1987,Fair,91300,38.996836,-76.586858,Anne Arundel County,IS 97 NBR,NA,05,16,State Highway Agency,State Highway Agency,91300 vehicles
1987,Fair,91300,38.996619,-76.5869,Anne Arundel County,IS 97 SBR,NA,05,16,State Highway Agency,State Highway Agency,91300 vehicles
1987,Good,91300,38.989381,-76.578608,Anne Arundel County,IS 97 NBR,NA,04,16,State Highway Agency,State Highway Agency,91300 vehicles
1987,Good,91300,38.989278,-76.578858,Anne Arundel County,IS 97 SBR,NA,04,16,State Highway Agency,State Highway Agency,91300 vehicles
1994,Good,5423,38.98666763,-76.57666779,Anne Arundel County,IS 595 RAMP CC/3,NA,01,17,State Highway Agency,State Highway Agency,5423 vehicles
1994,Good,101670,38.98500061,-76.57833099,Anne Arundel County,"IS 595 RAMP CC""/3",NA,03,15,State Highway Agency,State Highway Agency,101670 vehicles
1987,Fair,159360,38.98500061,-76.57666779,Anne Arundel County,IS 595,NA,12,16,State Highway Agency,State Highway Agency,159360 vehicles
1991,Fair,15006,38.98333359,-76.55999756,Anne Arundel County,IS 595 RAMP F,NA,11,16,State Highway Agency,State Highway Agency,15006 vehicles
1991,Fair,61602,38.98166656,-76.55500031,Anne Arundel County,MD 665 WBR,NA,01,17,State Highway Agency,State Highway Agency,61602 vehicles
1991,Good,61602,38.9793222222222,-76.54928611111112,Anne Arundel County,MD 665,NA,03,15,State Highway Agency,State Highway Agency,61602 vehicles
1991,Good,33251,38.9716,-76.54256666666667,Anne Arundel County,MD 2,NA,06,16,State Highway Agency,State Highway Agency,33251 vehicles
1970,Fair,66222,39.20500183,-76.60666656,Anne Arundel County,MD 695 & RAMPS 1,NA,04,16,State Highway Agency,State Highway Agency,66222 vehicles
1988,Fair,43170,39.1517277777778,-76.59936944444445,Anne Arundel County,MD 10 NBR,NA,08,15,State Highway Agency,State Highway Agency,43170 vehicles
1988,Good,43170,39.1520333333333,-76.599975,Anne Arundel County,MD 10 SBR,NA,08,15,State Highway Agency,State Highway Agency,43170 vehicles
1996,Fair,9784,39.179825,-76.73673055555555,Anne Arundel County,MD 100M,NA,04,15,State Highway Agency,State Highway Agency,9784 vehicles
1988,Fair,8520,39.1451555555556,-76.59808611111112,Anne Arundel County,MARLEY STATION RD,NA,05,15,State Highway Agency,State Highway Agency,8520 vehicles
1988,Good,43170,39.1341833333333,-76.58733055555555,Anne Arundel County,MD 10 NBR,NA,09,15,State Highway Agency,State Highway Agency,43170 vehicles
1988,Fair,43170,39.1349083333333,-76.58895,Anne Arundel County,MD 10 SBR,NA,09,15,State Highway Agency,State Highway Agency,43170 vehicles
1988,Good,33320,39.1330472222222,-76.58699722222222,Anne Arundel County,MD 10 SBR,NA,02,16,State Highway Agency,State Highway Agency,33320 vehicles
1988,Good,33320,39.1319555555556,-76.58469444444444,Anne Arundel County,MD 10 NBR,NA,06,16,State Highway Agency,State Highway Agency,33320 vehicles
1988,Good,33320,39.1316222222222,-76.58550555555556,Anne Arundel County,MD 10 SBR,NA,06,16,State Highway Agency,State Highway Agency,33320 vehicles
1991,Good,27110,39.1211805555556,-76.5753111111111,Anne Arundel County,MD 10 NBR,NA,06,15,State Highway Agency,State Highway Agency,27110 vehicles
1991,Fair,27110,39.1178222222222,-76.5766888888889,Anne Arundel County,MD 10,NA,11,15,State Highway Agency,State Highway Agency,27110 vehicles
1996,Fair,83402,39.1791722222222,-76.74057222222223,Anne Arundel County,MD 100 WBR,NA,06,16,State Highway Agency,State Highway Agency,83402 vehicles
1996,Good,9784,39.1783027777778,-76.73831666666666,Anne Arundel County,MD 100M,NA,02,16,State Highway Agency,State Highway Agency,9784 vehicles
1992,Good,88882,39.1700583333333,-76.73081666666667,Anne Arundel County,MD 295 NBR,659,07,16,State Highway Agency,State Highway Agency,88882 vehicles
1992,Good,88882,39.1707472222222,-76.73084722222222,Anne Arundel County,MD 295 SBR,NA,07,16,State Highway Agency,State Highway Agency,88882 vehicles
1995,Good,730,39.1680527777778,-76.72666666666667,Anne Arundel County,MD 100N(WRIGHT RD),NA,03,15,State Highway Agency,State Highway Agency,730 vehicles
1995,Good,78282,39.1655666666667,-76.72500833333334,Anne Arundel County,MD 100,NA,01,17,State Highway Agency,State Highway Agency,78282 vehicles
1995,Good,74302,39.1589527777778,-76.71881944444445,Anne Arundel County,MD 100 EBR,NA,01,17,State Highway Agency,State Highway Agency,74302 vehicles
1995,Good,74302,39.1588194444444,-76.71815555555555,Anne Arundel County,MD 100 WBR,NA,01,17,State Highway Agency,State Highway Agency,74302 vehicles
1990,Good,730,39.162025,-76.73850833333333,Anne Arundel County,MD 176B(WRIGHT RD),NA,04,16,State Highway Agency,State Highway Agency,730 vehicles
1995,Good,6211,39.1493972222222,-76.70689166666666,Anne Arundel County,MD 100P-HARMANS RD,NA,03,15,State Highway Agency,State Highway Agency,6211 vehicles
1995,Good,74302,39.1480472222222,-76.70394722222223,Anne Arundel County,MD 100 EBR,NA,02,15,State Highway Agency,State Highway Agency,74302 vehicles
1995,Good,74302,39.1478805555556,-76.70156944444444,Anne Arundel County,MD 100 WBR,NA,02,15,State Highway Agency,State Highway Agency,74302 vehicles
